rank,symbol,name,exchange,price,return_1d,return_5d,return_20d,volume_ratio_20d,price_vs_sma20,sma20_vs_sma50,distance_from_20d_high,rsi_14,price_as_of,price_momentum_score,market_cap,news_signal,news_count,headlines,news_urls,latest_news_utc,news_score,combined_score,signal,research_status,scan_status,history_coverage_ratio
1,PURR,Hyperliquid Strategies Inc - Common Stock,NASDAQ,10.579999923706055,0.049603,0.583832,0.709208,2.675051,0.485016,-0.06723,0.0,89.525688,2026-08-21,79.532673,2121963835.4782047,0.3,5,"Hyperliquid Strategies (PURR) On Trump Backed U.S. Path But Valuation Still Hard To Read | Hyperliquid Strategies (PURR) Stock Looks Pricey As It Jumps 193% YTD | HYPE Nears Record High, PURR Stock Adds To Its Biggest Single-Day Gain After Trump Signals US Path For Hyperliquid Exchange",https://finance.yahoo.com/markets/stocks/articles/hyperliquid-strategies-purr-trump-backed-120857101.html | https://finance.yahoo.com/markets/stocks/articles/hyperliquid-strategies-purr-stock-looks-151144794.html | https://finance.yahoo.com/m/59c11bca-2553-38e7-8abf-3673c9e5d9d8/hype-nears-record-high%2C-purr.html,2026-08-21T15:11:44+00:00,56.0,76.002772,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314722682882
2,HMY,Harmony Gold Mining Company Limited,NYSE,23.540000915527344,0.069028,0.210905,0.483302,1.768359,0.265796,0.108508,0.0,83.317625,2026-08-21,79.354552,14862806773.65036,0.2,5,ITAB Group AB (FRA:29I0) Q2 2026 Earnings Call Highlights: Strong Profit Growth Amidst ... | Harmony Gold (HMY) Upgraded to Buy: Here's What You Should Know | Why Harmony Gold Mining Stock Plummeted by Almost 12% This Week,https://finance.yahoo.com/markets/stocks/articles/itab-group-ab-fra-29i0-170023259.html | https://finance.yahoo.com/markets/stocks/articles/harmony-gold-hmy-upgraded-buy-160005465.html | https://finance.yahoo.com/m/c1c0fa87-48b8-3279-a1fd-9f0f4d23f995/why-harmony-gold-mining-stock.html,2026-07-16T17:00:23+00:00,54.0,75.551369,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314722682882
3,RFAI,RF Acquisition Corp II - Ordinary Shares,NASDAQ,58.0,3.556167,4.229937,4.234657,14.69999,3.336465,0.117113,0.0,96.253203,2026-08-21,79.725699,483938370.0,0.0,5,Top Midday Gainers | Top Premarket Gainers | US Equity Indexes Rise Despite Surging Bond Yields as US Nears Tariff Deal With Canada,https://finance.yahoo.com/markets/stocks/articles/top-midday-gainers-170133876.html | https://finance.yahoo.com/markets/stocks/articles/top-premarket-gainers-111156991.html | https://finance.yahoo.com/markets/stocks/articles/us-equity-indexes-rise-despite-202112574.html,2026-08-21T20:21:12+00:00,50.0,75.266845,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314722682882
4,CRCL,"Circle Internet Group, Inc. Class A Common Stock",NYSE,87.9800033569336,0.051638,0.228771,0.41084,1.898642,0.267678,-0.001069,0.0,83.769265,2026-08-21,79.36751,22336000862.624474,0.1,5,"Bitcoin Rally Tops $79,000. Crypto Shorts, ETF Flows Soar. CFTC Explores Crypto Rules. | Weekly Wrap: Bitcoin Breaks Out | Circle Internet shares surge after acquisition of IBM blockchain patent portfolio",https://finance.yahoo.com/m/83421330-6386-31f1-8c16-8f9b1127fb50/bitcoin-rally-tops-%2479%2C000..html | https://finance.yahoo.com/m/5b77819d-85d8-3d9a-8bc6-0d47ff89e0b5/weekly-wrap%3A-bitcoin-breaks.html | https://finance.yahoo.com/m/8548510c-468b-371a-b06e-ea373c8d4041/circle-internet-shares-surge.html,2026-08-21T20:51:14+00:00,52.0,75.262384,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314722682882
5,PSNL,"Personalis, Inc. - Common Stock",NASDAQ,18.3799991607666,0.088863,0.309117,0.560272,2.226533,0.322207,0.053441,0.0,81.66259,2026-08-21,79.307065,1962981557.7299805,0.1,5,"TEM Stock On Track For Best Week In 4 Months Following Personalis Deal Spotlight | Moderna’s Cancer Breakthrough Just Made Tempus AI’s $1.5 Billion Bet Look Brilliant | TEM, BNTX, MRVI, RGEN, NVAX Stock Rallies As Moderna-Merck Cancer Vaccine Clears Late-stage Trial",https://finance.yahoo.com/m/459b93f6-d375-3f79-bdd4-e6e91e4dbf98/tem-stock-on-track-for-best.html | https://finance.yahoo.com/m/00b4e58d-0c91-35dc-b749-1bf793a6750c/moderna%E2%80%99s-cancer-breakthrough.html | https://finance.yahoo.com/m/c2b5a922-feb9-3561-a7f2-d4ec3c8c3041/tem%2C-bntx%2C-mrvi%2C-rgen%2C-nvax.html,2026-08-20T17:22:12+00:00,52.0,75.211005,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314722682882
6,ARCT,Arcturus Therapeutics Holdings Inc. - Common Stock,NASDAQ,13.449999809265137,0.22384,0.634265,1.432188,2.847007,0.789992,0.0625,0.0,92.766943,2026-08-21,79.625672,382290272.6287298,0.0,5,"Can mRNA Cure Cancer? Inside the Pipeline Risks for Biotech’s Biggest Players | ARCT Defies mRNA Selloff And Extends Rally As Moderna, BioNTech Shares Pull Back | SLS, IBRX Stocks In Focus: Analyst Says Moderna-Merck Cancer Vaccine Success ‘Bodes Well’ For Oncology",https://finance.yahoo.com/m/78bd6fae-6bd9-3d30-b1da-aa7ddc0c9632/can-mrna-cure-cancer%3F-inside.html | https://finance.yahoo.com/m/c0ee4d1c-9549-3e27-825b-7669d93d51bb/arct-defies-mrna-selloff-and.html | https://finance.yahoo.com/m/ce474a2d-1587-3092-85b2-fd0868a3b302/sls%2C-ibrx-stocks-in-focus%3A.html,2026-08-21T18:54:00+00:00,50.0,75.181821,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314722682882
7,ASST,"Strive, Inc. - Class A Common Stock",NASDAQ,18.219999313354492,0.129572,0.479497,0.585727,3.692768,0.416989,-0.005495,0.0,87.456251,2026-08-21,79.473297,1567596321.982996,0.0,5,"MSTR, BMNR, COIN, CRCL Stock Extend Rally After Bitcoin Blasts Past $71K, Triggering $3B Liquidation Wave | Bitcoin DAT Strive’s Board Director Pierre Rochard Buys ASST Stocks as SATA Nears Par Value | Why Are Nasdaq, S&P 500 Futures Falling Premarket? NVDA, SKHY, SPCX, TSLA, MRNA, MSTR, PURR, WMT Stocks In Focus",https://finance.yahoo.com/m/0ee59ae4-aba8-3fb1-a195-bfafaabe037e/mstr%2C-bmnr%2C-coin%2C-crcl-stock.html | https://finance.yahoo.com/m/faa885cb-0515-3811-9f58-843ccc85c853/bitcoin-dat-strive%E2%80%99s-board.html | https://finance.yahoo.com/m/31b5cb8e-ec49-3b66-814e-9fd911a63820/why-are-nasdaq%2C-s%26p-500.html,2026-08-20T10:08:06+00:00,50.0,75.052303,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314722682882
8,TEM,"Tempus AI, Inc. - Class A Common Stock",NASDAQ,72.69000244140625,0.090623,0.395202,0.702741,2.30511,0.415814,-0.025045,0.0,82.36152,2026-08-21,79.327119,13115802854.154541,0.0,5,"ICE, CBP training changes will hurt the border in SoCal, officials say | TEM Stock On Track For Best Week In 4 Months Following Personalis Deal Spotlight | HIMS Stock More Than Doubled in 6 Months: What's Driving the Rally?",https://finance.yahoo.com/m/f4b12644-ac0e-346b-8894-f54f4ac37d16/ice%2C-cbp-training-changes.html | https://finance.yahoo.com/m/459b93f6-d375-3f79-bdd4-e6e91e4dbf98/tem-stock-on-track-for-best.html | https://finance.yahoo.com/healthcare/articles/hims-stock-more-doubled-6-150300524.html,2026-08-21T18:33:25+00:00,50.0,74.928051,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314722682882
9,ERO,Ero Copper Corp. Common Shares,NYSE,39.41999816894531,0.094392,0.166272,0.517321,2.508826,0.23626,0.107378,0.0,78.141052,2026-08-21,79.206025,4111609601.876175,0.0,5,"Dow Jones Futures: Market Rally Repairs Some Damage; Nvidia, CrowdStrike, Warsh In Focus | Stock Market Today: Dow Gains 500 Points; SpaceX Snaps A Losing Streak, Bitcoin Pops | These Copper Miners Top Buy Points Amid Supply, Demand Crunch",https://finance.yahoo.com/m/0e4d198b-0fbe-345f-9a59-99f6074c2273/dow-jones-futures%3A-market.html | https://finance.yahoo.com/m/ab896025-9eb7-3478-b19c-7560fd065b92/stock-market-today%3A-dow-gains.html | https://finance.yahoo.com/m/c0a94595-920b-3275-92c2-7a3b40c7652b/these-copper-miners-top-buy.html,2026-08-21T20:48:30+00:00,50.0,74.825121,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314722682882
10,TRLV,Trulieve Cannabis Corp. Subordinate Voting Shares,NYSE,11.100000381469727,0.082927,0.150259,0.327751,1.650601,0.21338,0.000766,0.0,76.939648,2026-08-21,78.812408,2134608428.2593212,0.1,5,Trulieve to Ring The Closing Bell at the New York Stock Exchange as First U.S. Cannabis Company Listed on the NYSE | Happy Health Raises $75 Million for Healthcare in the Home: NYSE Content Update | Trulieve Completes Redomicile from British Columbia to Delaware,https://finance.yahoo.com/markets/stocks/articles/trulieve-ring-closing-bell-york-120000131.html | https://finance.yahoo.com/healthcare/articles/happy-health-raises-75-million-125500835.html | https://finance.yahoo.com/markets/stocks/articles/trulieve-completes-redomicile-british-columbia-201000877.html,2026-08-18T12:55:00+00:00,52.0,74.790547,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314722682882
