rank,symbol,name,exchange,price,return_1d,return_5d,return_20d,volume_ratio_20d,price_vs_sma20,sma20_vs_sma50,distance_from_20d_high,rsi_14,price_as_of,price_momentum_score,market_cap,news_signal,news_count,headlines,news_urls,latest_news_utc,news_score,combined_score,signal,research_status,scan_status,history_coverage_ratio
1,SUPX,SuperX AI Technology Limited - Ordinary Shares,NASDAQ,10.539999961853027,0.237089,0.563798,0.514368,5.194955,0.505177,-0.05931,0.0,78.401366,2026-08-24,79.26057,455799146.8903456,0.2,5,"Super X AI Technology Stock Climbs on Japan Growth and Buyback Momentum | SuperX Japan Supply Center Delivers $31 Million of Pro6000 Servers, Secures New Orders | SuperX's Japan Global Supply Center has Delivered Pro6000 Servers Worth US$31 Million and Secured New Orders",https://finance.yahoo.com/m/a3523ad5-97b8-333f-807b-458244220c0b/super-x-ai-technology-stock.html | https://finance.yahoo.com/technology/ai/articles/superx-japan-supply-center-delivers-212827594.html | https://finance.yahoo.com/technology/ai/articles/superxs-japan-global-supply-center-203000444.html,2026-08-24T10:51:19+00:00,54.0,75.471485,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314722682882
2,ASST,"Strive, Inc. - Class A Common Stock",NASDAQ,19.729999542236328,0.082876,0.494697,0.61854,3.201522,0.490716,0.015573,0.0,88.636372,2026-08-24,79.534657,1697512397.4053307,0.1,5,"Strive Buys $81.5 Million in Bitcoin After Issuing More Shares | Strive Jumps 5% as CEO Declares the Bitcoin Bear Market Over, Strategy and Bitmine Rise 3% | Strive CEO Says ‘You Are Not Bullish Enough’ as Bitcoin Signals Its Biggest Cycle Ever",https://finance.yahoo.com/m/8e331524-97b8-32ec-b00d-65b749a0c0df/strive-buys-%2481.5-million-in.html | https://finance.yahoo.com/m/c81f80ca-f35f-3365-9030-c326ecb1ad72/strive-jumps-5%25-as-ceo.html | https://finance.yahoo.com/m/73074af2-0819-37d7-926f-3fed15f0a08e/strive-ceo-says-%E2%80%98you-are-not.html,2026-08-24T21:28:30+00:00,52.0,75.404458,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314722682882
3,ALVO,Alvotech - Ordinary Shares,NASDAQ,5.25,0.185102,0.353093,0.704545,2.913043,0.332234,0.064952,0.0,84.057974,2026-08-24,79.41205,1775654112.75,0.1,5,"Alvotech's Q4 Approval, Launch Timelines Remain Intact, UBS Says | BofA Securities Initiates Alvotech at Buy With $7 Price Target | BofA starts bullish Alvotech coverage on biosimilar launch cycle",https://finance.yahoo.com/markets/stocks/articles/alvotech-apos-q4-approval-launch-165635624.html | https://finance.yahoo.com/markets/stocks/articles/bofa-securities-initiates-alvotech-buy-134047957.html | https://finance.yahoo.com/healthcare/articles/bofa-starts-bullish-alvotech-coverage-104120455.html,2026-08-24T16:56:35+00:00,52.0,75.300243,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314722682882
4,ARCT,Arcturus Therapeutics Holdings Inc. - Common Stock,NASDAQ,14.34000015258789,0.066171,0.761671,1.489583,2.185635,0.805363,0.10023,0.0,93.28359,2026-08-24,79.659106,407586813.79701614,0.0,5,"ARCT Surges Over 60% Toward Best Week In Year As Moderna Cancer Win Lifts Sector — Retail Says Arcturus Getting ‘Harder To Dismiss’ | Can mRNA Cure Cancer? Inside the Pipeline Risks for Biotech’s Biggest Players | ARCT Defies mRNA Selloff And Extends Rally As Moderna, BioNTech Shares Pull Back",https://finance.yahoo.com/m/28a8f7d2-f4fd-307c-8ac7-1c3a9bd08d05/arct-surges-over-60%25-toward.html | https://finance.yahoo.com/m/78bd6fae-6bd9-3d30-b1da-aa7ddc0c9632/can-mrna-cure-cancer%3F-inside.html | https://finance.yahoo.com/m/c0ee4d1c-9549-3e27-825b-7669d93d51bb/arct-defies-mrna-selloff-and.html,2026-08-22T00:19:06+00:00,50.0,75.21024,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314722682882
5,FWDI,"Forward Industries, Inc. - Common Stock",NASDAQ,5.730000019073486,0.114786,0.338785,0.400978,3.905501,0.303309,0.016203,0.0,82.127646,2026-08-24,79.360357,423142640.9985175,0.0,5,SOL Strategies Evolving Into Broader Blockchain Platform – Quarterly Update Report | Forward Industries (FWDI) Q3 2026 Earnings Call Transcript | Forward Industries Inc (FWDI) (Q3 2026) Earnings Call Highlights: Strategic SOL Accumulation ...,https://finance.yahoo.com/markets/crypto/articles/sol-strategies-evolving-broader-blockchain-172631865.html | https://finance.yahoo.com/m/864e79aa-50c7-30b0-b539-0b096c7d23e8/forward-industries-%28fwdi%29-q3.html | https://finance.yahoo.com/markets/crypto/articles/forward-industries-inc-fwdi-q3-050030363.html,2026-08-20T17:26:31+00:00,50.0,74.956304,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314722682882
6,BMNR,"BitMine Immersion Technologies, Inc. Common Stock",NYSE,24.139999389648438,0.057381,0.288841,0.347098,1.864392,0.281214,0.121238,0.0,81.85653,2026-08-24,79.353097,14561884782.979828,0.0,5,Bitmine Immersion Shares Rise as Crypto Holdings Reach $14.9 Billion | Bitmine Immersion shares jump over 7% as crypto holdings reach $14.9B | Bitmine Makes Biggest Ethereum Purchase Since Early July,https://finance.yahoo.com/markets/crypto/articles/bitmine-immersion-shares-rise-crypto-195327938.html | https://finance.yahoo.com/m/f0a55ebf-4505-34d3-bf5d-045a3a5f74ba/bitmine-immersion-shares-jump.html | https://finance.yahoo.com/m/645a0a77-2448-3122-8a91-2149e122db14/bitmine-makes-biggest.html,2026-08-24T19:53:27+00:00,50.0,74.950133,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314722682882
7,GENB,"Generate Biomedicines, Inc. - Common Stock",NASDAQ,17.719999313354492,0.099255,0.129382,0.295322,3.379144,0.185601,0.001259,0.0,72.572182,2026-08-24,78.932893,2274405077.7873764,0.0,5,"Nvidia Holds More Than 122 Million Shares of SPCX Stock After Q2. Barchart Data Shows It’s Making a High-Upside Bet. | Nvidia Discloses Multi-Billion-Dollar Stakes in Intel, SpaceX in Filing | Two Positions Make Up 80% of Nvidia's $63.4 Billion Portfolio",https://finance.yahoo.com/m/02add99e-bc37-328f-abff-582a8a257ce2/nvidia-holds-more-than-122.html | https://finance.yahoo.com/markets/stocks/articles/nvidia-discloses-multi-billion-dollar-085130728.html | https://finance.yahoo.com/markets/stocks/articles/two-positions-80-nvidias-63-161205999.html,2026-08-18T18:56:39+00:00,50.0,74.592959,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314722682882
8,ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,8.640000343322754,0.089533,0.213483,0.471891,1.679769,0.272647,-0.13093,0.0,73.408237,2026-08-24,78.884059,629162345.3206644,0.0,5,"Stocks to Watch Recap: Strategy, Ross Stores, BJ’s Wholesale Club | How Index Funds Went From Being Mocked to Feared in 50 Years | Stocks to Watch Thursday Recap: Strategy, Moderna, Walmart",https://finance.yahoo.com/m/8deb7fa4-1549-3909-bd0c-2630ae002ee1/stocks-to-watch-recap%3A.html | https://finance.yahoo.com/m/58974538-8113-39d1-b06a-ec35917a2fba/how-index-funds-went-from.html | https://finance.yahoo.com/m/84b77662-f498-38e9-9692-38ddf62b3bb3/stocks-to-watch-thursday.html,2026-08-21T20:55:22+00:00,50.0,74.551451,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314722682882
9,VHI,"Valhi, Inc. Common Stock",NYSE,18.100000381469727,0.078023,0.113846,0.328928,2.351461,0.160517,0.068019,0.0,81.339046,2026-08-24,78.299262,512613604.10367775,0.1,5,"Valhi Q2 Earnings Surge Y/Y as Chemical Volumes, Margins Improve | Vitalhub Q2 Earnings Call Highlights | VALHI REPORTS SECOND QUARTER 2026 RESULTS",https://finance.yahoo.com/markets/stocks/articles/valhi-q2-earnings-surge-y-142300948.html | https://finance.yahoo.com/m/fd8c6edb-7b28-337b-8701-976effa7b600/vitalhub-q2-earnings-call.html | https://finance.yahoo.com/markets/stocks/articles/valhi-reports-second-quarter-2026-201500739.html,2026-08-13T14:23:00+00:00,52.0,74.354373,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314722682882
10,SBET,"Sharplink, Inc. - Common Stock",NASDAQ,8.270000457763672,0.045512,0.270353,0.296238,1.603741,0.257317,0.107995,0.0,79.999991,2026-08-24,78.346983,1794452056.4870758,0.0,5,"Strive Jumps 5% as CEO Declares the Bitcoin Bear Market Over, Strategy and Bitmine Rise 3% | SharpLink’s Ethereum Treasury Draws 60% Institutional Ownership | MicroStrategy sends harsh response to fresh MSCI delisting threat",https://finance.yahoo.com/m/c81f80ca-f35f-3365-9030-c326ecb1ad72/strive-jumps-5%25-as-ceo.html | https://finance.yahoo.com/m/ec164eaa-d83e-33ad-a24b-b3ae17c1e109/sharplink%E2%80%99s-ethereum-treasury.html | https://finance.yahoo.com/m/4b17a7b6-7678-3983-9bae-2f825f053c74/microstrategy-sends-harsh.html,2026-08-24T13:34:49+00:00,50.0,74.094936,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9996314722682882
