rank,symbol,name,exchange,price,return_1d,return_5d,return_20d,volume_ratio_20d,price_vs_sma20,sma20_vs_sma50,distance_from_20d_high,rsi_14,price_as_of,price_momentum_score,market_cap,news_signal,news_count,headlines,news_urls,latest_news_utc,news_score,combined_score,signal,research_status,scan_status,history_coverage_ratio
1,AGCO,AGCO Corporation Common Stock,NYSE,133.39999389648438,0.060245,0.176471,0.301212,1.725816,0.215255,-0.018214,0.0,92.800809,2026-09-04,79.668329,9342232221.160248,0.1,5,"AGCO (AGCO) Launches New Planters, Does The Stock Look Fully Valued? | American Farmers Sell Into Long-Hoped-for Crop Price Rally | Heavy Machinery Q2 Earnings: Caterpillar (NYSE:CAT) is the Best in the Biz",https://finance.yahoo.com/markets/stocks/articles/agco-agco-launches-planters-does-082018650.html | https://finance.yahoo.com/markets/commodities/articles/american-farmers-sell-long-hoped-120000259.html | https://finance.yahoo.com/markets/stocks/articles/heavy-machinery-q2-earnings-caterpillar-223118847.html,2026-09-05T12:00:00+00:00,52.0,75.51808,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998150887573964
2,RGC,Regencell Bioscience Holdings Limited - Ordinary Shares,NASDAQ,6.889999866485596,0.063272,0.252727,0.273567,3.477155,0.236429,-0.029874,0.0,78.30882,2026-09-04,79.409301,3407028516.988608,0.1,5,"HKUST Tops Hong Kong Universities with More Than 1,000 HKPFS Recipients | LiUNA, Fengate, and Rinomato Group break ground on new transit-oriented, mixed-use rental community in Etobicoke | RGC Resources Inc (RGCO) (Q3 2026) Earnings Call Highlights: Navigating Rate Case Wins and LNG ...",https://finance.yahoo.com/small-business/articles/hkust-tops-hong-kong-universities-114500739.html | https://finance.yahoo.com/real-estate/articles/liuna-fengate-rinomato-group-break-175100327.html | https://finance.yahoo.com/energy/articles/rgc-resources-inc-rgco-q3-010704646.html,2026-09-03T11:45:00+00:00,52.0,75.297906,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998150887573964
3,TITN,Titan Machinery Inc. - Common Stock,NASDAQ,26.219999313354492,0.148489,0.468085,0.373494,2.799878,0.342172,0.01613,0.0,77.23305,2026-09-04,79.376807,617032543.181242,0.1,5,Titan Machinery Q2 Earnings Call Highlights | Titan Machinery Shares Rise After Upgrade From Baird | Titan Machinery (TITN) Q2 2027 Earnings Call Transcript,https://finance.yahoo.com/m/9ebc8210-a303-3a39-8141-032970df8fac/titan-machinery-q2-earnings.html | https://finance.yahoo.com/markets/stocks/articles/titan-machinery-shares-rise-upgrade-190242037.html | https://finance.yahoo.com/m/12df622d-c3d2-3c9e-98d3-17eb17d4b412/titan-machinery-%28titn%29-q2.html,2026-09-04T02:01:57+00:00,52.0,75.270286,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998150887573964
4,TARS,"Tarsus Pharmaceuticals, Inc. - Common Stock",NASDAQ,90.77999877929688,0.09104,0.26505,0.401142,2.062449,0.236604,0.112933,0.0,84.665656,2026-09-04,79.601316,3983698323.3118896,0.0,5,"Tarsus Pharmaceuticals Closes Acquisition of Alkeus Pharmaceuticals | Tarsus Pharmaceuticals Completes Acquisition of Alkeus Pharmaceuticals, Expanding Leadership in Eye Care | Update: Tarsus Pharmaceuticals Shares Rise After Closing Alkeus Pharmaceuticals Acquisition",https://finance.yahoo.com/healthcare/articles/tarsus-pharmaceuticals-closes-acquisition-alkeus-130800613.html | https://finance.yahoo.com/healthcare/articles/tarsus-pharmaceuticals-completes-acquisition-alkeus-123800098.html | https://finance.yahoo.com/markets/stocks/articles/tarsus-pharmaceuticals-shares-rise-closing-193006419.html,2026-09-04T19:48:43+00:00,50.0,75.161119,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998150887573964
5,MTC,"MMTec, Inc. - Common Shares",NASDAQ,4.360000133514404,0.092732,0.150396,0.453333,2.131661,0.260844,0.110647,0.0,78.29458,2026-09-04,79.408871,434202869.25640726,0.0,5,"Mitchell Tech's Christensen, cancer survivor, launches MTC Cancer Fund | Fibocom Launches RU311 5G RedCap Module Series for Streamlined 5G Upgrades in Mid-Tier IoT | New Phase 3b data on Lilly's Taltz (ixekizumab) and Zepbound (tirzepatide) used together showed improved and durable efficacy at one year in adults with psoriatic disease and obesity",https://finance.yahoo.com/m/65aeb48b-ec0a-3a70-8924-ef19c617085f/mitchell-tech%27s-christensen%2C.html | https://finance.yahoo.com/technology/articles/fibocom-launches-ru311-5g-redcap-073700855.html | https://finance.yahoo.com/healthcare/articles/phase-3b-data-lillys-taltz-110000099.html,2026-09-05T23:49:00+00:00,50.0,74.997541,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998150887573964
6,EPRX,Eupraxia Pharmaceuticals Inc. - Common Stock,NASDAQ,8.399999618530273,0.12,0.258427,0.240768,6.903212,0.202448,0.046037,0.0,68.287034,2026-09-04,79.106583,555016307.9950085,0.0,5,TerrAscend Announces Results of Special Meeting of Shareholders | Wall Street Analysts See a 145.35% Upside in Eupraxia Pharmaceuticals Inc. (EPRX): Can the Stock Really Move This High? | Eupraxia Pharmaceuticals Reports Second Quarter 2026 Financial Results,https://finance.yahoo.com/markets/stocks/articles/terrascend-announces-results-special-meeting-220700463.html | https://finance.yahoo.com/markets/stocks/articles/wall-street-analysts-see-145-135503393.html | https://finance.yahoo.com/healthcare/articles/eupraxia-pharmaceuticals-reports-second-quarter-212100549.html,2026-08-24T22:07:00+00:00,50.0,74.740595,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998150887573964
7,ODTX,"Odyssey Therapeutics, Inc. - Common Stock",NASDAQ,28.760000228881836,0.089394,0.180624,0.358526,1.623269,0.193832,0.175743,0.0,75.783292,2026-09-04,78.696511,1382163247.519724,0.0,5,"Discover Odessa earns four Destination Texas Awards, including two first-place honors | HC Wainwright Initiates Odyssey Therapeutics at Buy With $44 Price Target | Odyssey Therapeutics to Participate in Upcoming Investor Conferences",https://finance.yahoo.com/m/f36b8073-7a37-3e0d-8ab4-dd8773f220cd/discover-odessa-earns-four.html | https://finance.yahoo.com/markets/stocks/articles/hc-wainwright-initiates-odyssey-therapeutics-113359618.html | https://finance.yahoo.com/healthcare/articles/odyssey-therapeutics-participate-upcoming-investor-120000948.html,2026-09-04T15:47:00+00:00,50.0,74.392034,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998150887573964
8,BLTE,"Belite Bio, Inc - American Depositary Shares",NASDAQ,193.61000061035156,0.131627,0.276101,0.187427,3.623387,0.175556,0.040924,0.0,71.229053,2026-09-04,78.546437,7797089824.420166,0.0,5,"Belite Bio Shares Rise After Canaccord Initiates Coverage With Buy Rating | Belite Bio's Tinlarebant Revenue Estimates Have Multiple Drivers of Upside, Mizuho Says | Canaccord Genuity Initiates Belite Bio at Buy With $303 Price Target",https://finance.yahoo.com/markets/stocks/articles/belite-bio-shares-rise-canaccord-193047716.html | https://finance.yahoo.com/healthcare/articles/belite-bio-apos-tinlarebant-revenue-153246252.html | https://finance.yahoo.com/markets/stocks/articles/canaccord-genuity-initiates-belite-bio-095227716.html,2026-09-04T19:30:47+00:00,50.0,74.264472,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998150887573964
9,BSVN,Bank7 Corp. - Common stock,NASDAQ,57.43000030517578,0.094948,0.099981,0.135654,2.60492,0.101553,0.022955,0.0,78.343967,2026-09-04,77.314073,547069912.9870605,0.2,5,Bank7 Corp. Named Successful Bidder in the Auction for a Controlling Interest in Century Financial Services Corporation | Bank Director's RankingBanking Study Ranks Top-Performing U.S. Banks | Bank7 Corp. Announces an 11.11% Quarterly Dividend Increase; Its Seventh Consecutive Annual Dividend Increase,https://finance.yahoo.com/markets/stocks/articles/bank7-corp-named-successful-bidder-200500043.html | https://finance.yahoo.com/markets/stocks/articles/bank-directors-rankingbanking-study-ranks-150000143.html | https://finance.yahoo.com/markets/stocks/articles/bank7-corp-announces-11-11-130000095.html,2026-09-03T20:05:00+00:00,54.0,73.816962,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998150887573964
10,VBNK,VersaBank - Common Shares,NASDAQ,22.40999984741211,0.088392,0.129536,0.173913,2.860554,0.130248,-0.025359,0.0,66.241622,2026-09-04,78.018705,726511555.4432411,0.0,5,"VersaBank (VBNK) (Q3 2026) Earnings Call Highlights: Record Assets Surpass $7 Billion, ... | VersaBank to Participate in the Raymond James US Bank and Banking on Tech Conference in Chicago on September 8-10, 2026 | VersaBank (VBNK) Misses Q3 Earnings and Revenue Estimates",https://finance.yahoo.com/markets/stocks/articles/versabank-vbnk-q3-2026-earnings-110036898.html | https://finance.yahoo.com/technology/articles/versabank-participate-raymond-james-us-110000959.html | https://finance.yahoo.com/markets/stocks/articles/versabank-vbnk-misses-q3-earnings-121502198.html,2026-09-06T11:00:36+00:00,50.0,73.815899,Strong momentum,Idea candidate — deeper research required,COMPLETE,0.9998150887573964
